req,res,total,duration_s,events_per_s
16,16,32,28.451181032000022,1.1247336257854639
18,17,35,27.149795266000183,1.289144159544756
14,14,28,24.461414464999507,1.1446598903781162
80,80,160,25.904775619999782,6.176467318113808
208,208,416,28.058801739000046,14.826007320967845
36,36,72,25.248716345000503,2.8516301191785822
238,237,475,38.513476070999786,12.333345323707865
20,20,40,24.733169830000406,1.6172613649982504
193,193,386,27.730053221000162,13.919915584860094
179,177,356,28.094044052000754,12.671724987013643
73,73,146,23.746892599000603,6.148172835301595
283,283,566,35.80569521199959,15.807541136928295
76,75,151,22.505128871000124,6.70958166316377
118,118,236,28.089994396999828,8.401568069561671
35,35,70,28.069221370000378,2.4938347621859616
160,160,320,27.067430252000122,11.822326575547521
42,42,84,28.089220157000454,2.990471060801784
147,147,294,32.425026042000354,9.067070589833293
79,79,158,26.558786442000383,5.949067000672023
43,43,86,25.77710842400029,3.3362935277848305
54,54,108,27.807355031000043,3.883864534386677
167,164,331,28.061278467000193,11.795613674168587
160,160,320,29.898021123000035,10.703049498945918
143,136,279,30.411793887000385,9.174072435077873
13,13,26,28.06216352299998,0.9265144499172412
117,117,234,33.496200422000584,6.985866965565051
22,22,44,24.355187774000115,1.8065966236142637
12,12,24,28.05773783800032,0.8553790094757862
73,73,146,27.886754862999624,5.235460372397578
3,2,5,20.416898473999936,0.24489517868579747
157,150,307,58.034886372000074,5.289921617699891
82,82,164,28.07005949700033,5.842524132074805
141,138,279,28.09234552700036,9.931530983478936
86,83,169,28.07951634300025,6.018622184784491
59,59,118,23.73421800899996,4.9717247880361874
56,48,104,28.062795385000754,3.7059743540583567
243,232,475,34.89584250200005,13.611936722054367
1,0,1,1.6387300060005145,0.610228650441692
7,7,14,28.075225738999507,0.4986602825619491
128,128,256,31.134868042000562,8.222292757260416
414,401,815,27.14043783299985,30.028992347685996
106,106,212,31.82798975300011,6.660803954167946
132,132,264,31.2679635279992,8.443146601587873
92,92,184,28.070441961999677,6.554937761546104
194,190,384,31.20664613899953,12.305071114967014
96,93,189,29.114461644000585,6.491619261623748
139,139,278,26.347591781999654,10.551248945261332
246,239,485,26.272410835999835,18.460429955496416
73,46,119,29.28441991300042,4.063594237261007
69,69,138,25.05412398700082,5.508075240291796
862,860,1722,47.56754164799986,36.201156089646425
96,93,189,26.032813015999636,7.260068279361187
262,260,522,28.098867028999848,18.577261476815497
107,105,212,31.69162535400028,6.689464413135259
96,96,192,26.83644236300006,7.154450556557908
78,78,156,21.974066033999406,7.0992778377305665
351,320,671,34.41555847499967,19.496995827844298
5,5,10,28.084084021000308,0.35607356795124046
55,52,107,28.077170702999865,3.8109252934295026
398,396,794,25.15813247599999,31.56037121425643
219,217,436,31.724926445000165,13.743136670651396
29,29,58,28.086358231000304,2.065059468478278
406,404,810,36.83580893599992,21.989472293314584
210,203,413,33.166464750999694,12.452337115234794
107,107,214,36.45818584100016,5.869738031762947
221,221,442,34.505716750999454,12.809471635948485
223,222,445,28.06478854100078,15.85616792907186
223,218,441,28.08309918100076,15.70339502622818
105,104,209,32.405409434999456,6.449540482406915
247,247,494,28.06227613900046,17.603703903171542
138,136,274,30.473637713000244,8.991378140690761
119,117,236,37.8349097320006,6.237625559877899
242,240,482,32.68081213300047,14.748715485968154
465,459,924,36.967823743000736,24.99470908603173
170,168,338,32.560205494999536,10.380769864978545
261,207,468,39.89129386799959,11.731883191069544
342,340,682,33.68763695100006,20.24481565720964
175,175,350,28.067659565999747,12.469867648814533
257,254,511,29.271497783000086,17.45725496482014
207,193,400,28.488806468999428,14.040602242683164
83,79,162,28.08608590700078,5.767980648368652
52,51,103,28.083646570999917,3.667614878274431
88,88,176,30.01479283200024,5.863775271917179
194,189,383,28.0975006639992,13.631105648152213
137,133,270,31.429319879000104,8.590704509021332
170,169,339,37.31588829100019,9.084602176863084
78,78,156,28.172980262999772,5.537220363046874
272,264,536,40.78138789500008,13.143250577445777
176,172,348,40.62292263500058,8.566591900016675
456,452,908,44.9752626290001,20.18887599367837
118,117,235,28.058485090999966,8.375363076012203
123,122,245,28.072506749999775,8.72740016350702
166,163,329,44.25156440400042,7.434765401655672
372,360,732,27.67428980099976,26.450543275497385
139,139,278,36.32124079499954,7.653923542123956
265,264,529,28.05828787700011,18.8536093976579
584,583,1167,38.844673570999475,30.04272896944241
198,195,393,37.90282532600031,10.368620191762133
341,337,678,40.238585496999804,16.849498848575376
145,144,289,34.743115628999476,8.318194691750003
